,source,num_labeled,percent_broken,pretrained,test,val,score
cmapss_two_baseline,2,4.0,0.6,autoencoder,33.32604217529297,30.715911865234375,221294.46875
cmapss_two_baseline,2,4.0,0.6,autoencoder,22.90435028076172,24.931989669799805,5914.3076171875
cmapss_two_baseline,2,4.0,0.6,autoencoder,37.58794403076172,36.5914192199707,274780.65625
cmapss_two_baseline,2,4.0,0.6,autoencoder,23.995731353759766,23.986562728881836,7896.95654296875
cmapss_two_baseline,2,4.0,0.6,autoencoder,28.72115707397461,28.376480102539062,45035.99609375
cmapss_two_baseline,2,4.0,0.6,autoencoder,27.607816696166992,28.087488174438477,13859.814453125
cmapss_two_baseline,2,20.0,0.6,autoencoder,22.864225387573242,23.557384490966797,14895.6337890625
cmapss_two_baseline,2,20.0,0.6,autoencoder,25.24081802368164,25.768280029296875,9810.0517578125
cmapss_two_baseline,2,20.0,0.6,autoencoder,22.525474548339844,24.751344680786133,5420.4267578125
cmapss_two_baseline,2,20.0,0.6,autoencoder,23.69561195373535,24.4887752532959,16698.642578125
cmapss_two_baseline,2,20.0,0.6,autoencoder,23.56513214111328,23.671764373779297,8172.22900390625
cmapss_two_baseline,2,20.0,0.6,autoencoder,22.81073570251465,23.540149688720703,9748.400390625
cmapss_two_baseline,2,20.0,0.6,autoencoder,23.914369583129883,24.20364761352539,19499.97265625
cmapss_two_baseline,2,20.0,0.6,autoencoder,22.924402236938477,23.04298210144043,11543.8662109375
cmapss_two_baseline,2,20.0,0.6,autoencoder,21.895254135131836,22.596023559570312,3874.784912109375
cmapss_two_baseline,2,20.0,0.6,autoencoder,23.087190628051758,24.9510555267334,20124.640625
cmapss_two_baseline,2,41.0,0.6,autoencoder,20.4830379486084,21.094932556152344,4639.814453125
cmapss_two_baseline,2,41.0,0.6,autoencoder,22.300935745239258,22.722747802734375,5174.583984375
cmapss_two_baseline,2,41.0,0.6,autoencoder,23.561809539794922,22.766611099243164,7672.4755859375
cmapss_two_baseline,2,41.0,0.6,autoencoder,21.95969009399414,23.785184860229492,5935.18359375
cmapss_two_baseline,2,41.0,0.6,autoencoder,22.59859275817871,22.429615020751953,4732.841796875
cmapss_two_baseline,2,41.0,0.6,autoencoder,21.837491989135742,23.07242202758789,4837.3369140625
cmapss_two_baseline,2,41.0,0.6,autoencoder,21.80286979675293,22.619720458984375,6504.50830078125
cmapss_two_baseline,2,41.0,0.6,autoencoder,21.509767532348633,22.474071502685547,12265.041015625
cmapss_two_baseline,2,41.0,0.6,autoencoder,24.212749481201172,23.21218490600586,10596.75
cmapss_two_baseline,2,41.0,0.6,autoencoder,22.349197387695312,23.4719181060791,4748.6796875
cmapss_two_baseline,2,83.0,0.6,autoencoder,19.484331130981445,21.246217727661133,3304.7744140625
cmapss_two_baseline,2,83.0,0.6,autoencoder,20.18547248840332,20.137746810913086,4805.537109375
cmapss_two_baseline,2,83.0,0.6,autoencoder,22.311880111694336,22.976736068725586,10395.216796875
cmapss_two_baseline,2,83.0,0.6,autoencoder,20.253868103027344,21.797504425048828,6179.4375
cmapss_two_baseline,2,83.0,0.6,autoencoder,21.09286880493164,20.95688819885254,7008.94482421875
cmapss_two_baseline,2,83.0,0.6,autoencoder,20.40979766845703,21.35871696472168,5017.6435546875
cmapss_two_baseline,2,83.0,0.6,autoencoder,21.381433486938477,21.807241439819336,5220.0341796875
cmapss_two_baseline,2,83.0,0.6,autoencoder,20.38770294189453,21.345834732055664,4480.978515625
cmapss_two_baseline,2,83.0,0.6,autoencoder,19.638776779174805,21.38274383544922,2550.818359375
cmapss_two_baseline,2,83.0,0.6,autoencoder,21.708406448364258,21.693042755126953,5669.49169921875
cmapss_two_baseline,2,208.0,0.6,autoencoder,18.052989959716797,19.43368911743164,2102.757080078125
cmapss_two_baseline,2,208.0,0.6,autoencoder,16.98963165283203,18.36701202392578,1531.8228759765625
cmapss_two_baseline,2,208.0,0.6,autoencoder,17.780290603637695,19.19758415222168,1982.4849853515625
cmapss_two_baseline,2,208.0,0.6,autoencoder,17.20258903503418,18.722557067871094,1583.1817626953125
cmapss_two_baseline,2,208.0,0.6,autoencoder,17.08987045288086,18.241268157958984,1644.736572265625
cmapss_two_baseline,2,208.0,0.6,autoencoder,17.679471969604492,18.388744354248047,1657.415283203125
cmapss_two_baseline,2,208.0,0.6,autoencoder,18.661148071289062,19.89964485168457,2233.44384765625
cmapss_two_baseline,2,208.0,0.6,autoencoder,17.236482620239258,18.572729110717773,1594.678466796875
cmapss_two_baseline,2,208.0,0.6,autoencoder,20.75870704650879,21.330638885498047,5202.87158203125
cmapss_two_baseline,2,208.0,0.6,autoencoder,16.37076759338379,18.58342170715332,1311.9700927734375
cmapss_two_baseline,2,4.0,0.7,autoencoder,29.71387481689453,32.2404670715332,56238.5078125
cmapss_two_baseline,2,4.0,0.7,autoencoder,35.85885238647461,37.12007522583008,35356.21875
cmapss_two_baseline,2,4.0,0.7,autoencoder,27.124210357666016,27.90139389038086,42799.9296875
cmapss_two_baseline,2,4.0,0.7,autoencoder,24.479921340942383,25.37187957763672,23188.861328125
cmapss_two_baseline,2,4.0,0.7,autoencoder,32.43716812133789,31.882902145385742,238556.359375
cmapss_two_baseline,2,4.0,0.7,autoencoder,22.155622482299805,24.76454734802246,8079.1982421875
cmapss_two_baseline,2,4.0,0.7,autoencoder,34.43388748168945,33.715789794921875,252685.875
cmapss_two_baseline,2,4.0,0.7,autoencoder,24.78792953491211,23.536218643188477,23727.74609375
cmapss_two_baseline,2,4.0,0.7,autoencoder,26.380311965942383,26.858808517456055,18481.234375
cmapss_two_baseline,2,4.0,0.7,autoencoder,22.906566619873047,25.393211364746094,6996.794921875
cmapss_two_baseline,2,20.0,0.7,autoencoder,22.88467025756836,22.401565551757812,15652.185546875
cmapss_two_baseline,2,20.0,0.7,autoencoder,24.571510314941406,24.46531105041504,6120.0107421875
cmapss_two_baseline,2,20.0,0.7,autoencoder,23.146589279174805,24.127851486206055,12692.8828125
cmapss_two_baseline,2,20.0,0.7,autoencoder,25.107826232910156,25.488452911376953,8621.380859375
cmapss_two_baseline,2,20.0,0.7,autoencoder,23.66176414489746,22.70124626159668,13427.0859375
cmapss_two_baseline,2,20.0,0.7,autoencoder,22.721527099609375,24.052539825439453,7025.16748046875
cmapss_two_baseline,2,20.0,0.7,autoencoder,22.75909996032715,24.847721099853516,10737.3857421875
cmapss_two_baseline,2,20.0,0.7,autoencoder,23.258529663085938,23.596572875976562,34398.19921875
cmapss_two_baseline,2,20.0,0.7,autoencoder,25.554555892944336,24.62420082092285,22162.08984375
cmapss_two_baseline,2,20.0,0.7,autoencoder,24.723392486572266,25.74728775024414,61535.9921875
cmapss_two_baseline,2,41.0,0.7,autoencoder,20.703533172607422,22.49422264099121,5717.3583984375
cmapss_two_baseline,2,41.0,0.7,autoencoder,21.747175216674805,22.445837020874023,4509.3974609375
cmapss_two_baseline,2,41.0,0.7,autoencoder,22.111116409301758,21.97999382019043,9093.46484375
cmapss_two_baseline,2,41.0,0.7,autoencoder,21.493289947509766,23.118227005004883,4684.3212890625
cmapss_two_baseline,2,41.0,0.7,autoencoder,23.218948364257812,22.618099212646484,9818.046875
cmapss_two_baseline,2,41.0,0.7,autoencoder,22.190078735351562,22.93605613708496,4788.9951171875
cmapss_two_baseline,2,41.0,0.7,autoencoder,26.383928298950195,25.163124084472656,35347.4453125
cmapss_two_baseline,2,41.0,0.7,autoencoder,20.854679107666016,22.150880813598633,5631.9794921875
cmapss_two_baseline,2,41.0,0.7,autoencoder,20.966232299804688,21.690608978271484,4213.47802734375
cmapss_two_baseline,2,41.0,0.7,autoencoder,24.59410285949707,23.666885375976562,18657.6484375
cmapss_two_baseline,2,83.0,0.7,autoencoder,20.097442626953125,21.414844512939453,4689.1650390625
cmapss_two_baseline,2,83.0,0.7,autoencoder,20.34897804260254,20.769407272338867,4318.2060546875
cmapss_two_baseline,2,83.0,0.7,autoencoder,21.115983963012695,21.96906089782715,7581.7783203125
cmapss_two_baseline,2,83.0,0.7,autoencoder,21.120267868041992,21.393157958984375,5324.35888671875
cmapss_two_baseline,2,83.0,0.7,autoencoder,20.293718338012695,21.141231536865234,5628.27294921875
cmapss_two_baseline,2,83.0,0.7,autoencoder,19.14092254638672,20.812618255615234,3567.7958984375
cmapss_two_baseline,2,83.0,0.7,autoencoder,22.113500595092773,21.190439224243164,8456.04296875
cmapss_two_baseline,2,83.0,0.7,autoencoder,20.74812126159668,21.666223526000977,3472.918212890625
cmapss_two_baseline,2,83.0,0.7,autoencoder,19.82778549194336,21.057109832763672,3910.647216796875
cmapss_two_baseline,2,83.0,0.7,autoencoder,20.109037399291992,21.480426788330078,3849.98095703125
cmapss_two_baseline,2,208.0,0.7,autoencoder,18.409297943115234,19.360157012939453,5267.22216796875
cmapss_two_baseline,2,208.0,0.7,autoencoder,16.890541076660156,18.43279457092285,1666.187744140625
cmapss_two_baseline,2,208.0,0.7,autoencoder,17.35181427001953,18.55272674560547,1645.0115966796875
cmapss_two_baseline,2,208.0,0.7,autoencoder,16.571544647216797,18.348299026489258,1735.1513671875
cmapss_two_baseline,2,208.0,0.7,autoencoder,17.276058197021484,18.63896369934082,1783.5489501953125
cmapss_two_baseline,2,208.0,0.7,autoencoder,17.282758712768555,18.315860748291016,1918.79052734375
cmapss_two_baseline,2,208.0,0.7,autoencoder,17.046459197998047,18.725482940673828,1587.04150390625
cmapss_two_baseline,2,208.0,0.7,autoencoder,16.921358108520508,18.231327056884766,1322.793212890625
cmapss_two_baseline,2,208.0,0.7,autoencoder,17.1365966796875,18.55892562866211,1991.31201171875
cmapss_two_baseline,2,208.0,0.7,autoencoder,20.746496200561523,21.184396743774414,7027.03662109375
cmapss_two_baseline,2,4.0,0.8,autoencoder,44.05533981323242,41.54987335205078,92447.796875
cmapss_two_baseline,2,4.0,0.8,autoencoder,36.28748321533203,35.820919036865234,137307.375
cmapss_two_baseline,2,4.0,0.8,autoencoder,27.945110321044922,28.00751304626465,32021.619140625
cmapss_two_baseline,2,4.0,0.8,autoencoder,43.56071090698242,39.484825134277344,327992.125
cmapss_two_baseline,2,4.0,0.8,autoencoder,30.28683853149414,28.997066497802734,83855.15625
cmapss_two_baseline,2,4.0,0.8,autoencoder,32.09442901611328,31.551570892333984,35031.5625
cmapss_two_baseline,2,4.0,0.8,autoencoder,33.59547805786133,32.6146240234375,210564.21875
cmapss_two_baseline,2,4.0,0.8,autoencoder,22.569000244140625,23.926591873168945,8433.9658203125
